Coulommiers,O,O,2000,1.0,Coulommiers,Seine-et-Marne,48.8077192922, 3.08196720084
Villiers-St-Georges,O,N,3000,1.0,Villiers-St-Georges,Seine-et-Marne,48.6501900955, 3.41283490731
Artonges,O,N,4000,1.0,Artonges,Aisne,48.9265992789, 3.5423440283
Meuse-TGV,N,O,5000,1.0,Les Trois-Domaines,Meuse,48.9785063408, 5.27371450709
Champagne-Ardenne-TGV,N,O,5317,1.0,Bezannes,Marne,49.21368002, 3.99569433232
Nuisement,O,N,6000,2.0,Nuisement-sur-Coole,Marne,48.8799040673, 4.30954683517
Vitry-le-François,O,O,7000,1.0,Vitry-le-François,Marne,48.7177830891, 4.5875147447
Coligny (Marne),O,N,10000,1.0,Val-des-Marais,Marne,48.8507951705, 3.97085940821
Connantre,O,N,10000,1.0,Connantre,Marne,48.7315322032, 3.92361897462
Rouilly-Geraudot,N,N,12000,1.0,Rouilly-Sacey,Aube,48.3277813339, 4.28510100033
Joinville (Haute-Marne),O,O,15000,2.0,Joinville,Haute-Marne,48.4443371673, 5.14411402649
Vignory,O,O,20000,1.0,Vignory,Haute-Marne,48.2705813412, 5.12416917897
Chaumont,O,O,20000,1.0,Chaumont,Haute-Marne,48.1095595141, 5.13398630271
Coussey,O,N,26000,1.0,Coussey,Vosges,48.408310544, 5.68457607392
Nançois-Tronville,O,O,27000,1.0,Nançois-sur-Ornain,Meuse,48.7178686057, 5.29137808735
Menaucourt,N,N,27000,1.0,Menaucourt,Meuse,48.6443468931, 5.35599042655
Neufchâteau,O,O,27000,1.0,Neufchâteau,Vosges,48.3582342953, 5.69005411994
Châtenois-Dolaincourt,O,N,30000,1.0,Châtenois,Vosges,48.3016159828, 5.83889815773
Bainville,N,O,40000,1.0,Bainville-sur-Madon,Meurthe-et-Moselle,48.58599515, 6.09954060377
Ceintrey,N,O,40000,1.0,Ceintrey,Meurthe-et-Moselle,48.5246750406, 6.15726971556
Vézelise,N,O,40000,1.0,Vézelise,Meurthe-et-Moselle,48.4806580536, 6.10077558371
Houdemont,O,O,40000,1.0,Houdemont,Meurthe-et-Moselle,48.6451812713, 6.17975378437
Einvaux,N,O,42000,1.0,Einvaux,Meurthe-et-Moselle,48.503403318, 6.39311879067
Vincey,O,O,42000,1.0,Portieux,Vosges,48.3432921635, 6.33574269988
Igney,N,O,42000,1.0,Igney,Vosges,48.2709178732, 6.39951145722
Bains-les-Bains,N,O,42000,1.0,Le Clerjus,Vosges,47.9812299294, 6.29523874798
Épinal,O,O,60000,1.0,Épinal,Ardennes,48.1779619872, 6.44126870858
Ménil-Flin,N,O,67000,1.0,Flin,Meurthe-et-Moselle,48.5050029509, 6.65923581161
Azerailles,N,O,67000,1.0,Azerailles,Meurthe-et-Moselle,48.4913424888, 6.69582723526
Étival-Clairefontaine,O,O,67000,1.0,Étival-Clairefontaine,Vosges,48.3666534475, 6.87693819838
Stambach,N,N,70000,1.0,Haegen,Bas-Rhin,48.7200233456, 7.3143683802
